rank;hitYear;week;album
87;2023;26;DIMENSION : DILEMMA
90;2023;26;BORDER : CARNIVAL
30;2023;25;DARK BLOOD
86;2023;25;DARK BLOOD (Weverse)
38;2023;24;DARK BLOOD (Weverse)
8;2023;23;DARK BLOOD
17;2023;23;DARK BLOOD (Weverse)
74;2023;23;BORDER : CARNIVAL
10;2023;22;DARK BLOOD (Weverse)
15;2023;22;DARK BLOOD
27;2023;22;DIMENSION : DILEMMA
29;2023;22;BORDER : CARNIVAL
41;2023;22;DIMENSION : ANSWER
92;2023;22;MANIFESTO : DAY 1
1;2023;21;DARK BLOOD
2;2023;21;DARK BLOOD (Weverse)
88;2023;21;DIMENSION : DILEMMA
93;2023;21;DIMENSION : ANSWER
60;2023;20;MANIFESTO : DAY 1
63;2023;20;DIMENSION : DILEMMA
74;2023;20;BORDER : CARNIVAL
76;2023;20;DIMENSION : ANSWER
85;2023;20;BORDER : DAY ONE
43;2023;19;MANIFESTO : DAY 1
54;2023;19;DIMENSION : DILEMMA
91;2023;19;BORDER : CARNIVAL
97;2023;19;BORDER : DAY ONE
86;2023;18;MANIFESTO : DAY 1
69;2023;17;DIMENSION : DILEMMA
73;2023;17;MANIFESTO : DAY 1
97;2023;17;DIMENSION : ANSWER
98;2023;17;BORDER : CARNIVAL
69;2023;15;MANIFESTO : DAY 1
72;2023;15;DIMENSION : DILEMMA
93;2023;15;BORDER : CARNIVAL
99;2023;15;BORDER : DAY ONE
35;2023;14;DIMENSION : DILEMMA
51;2023;14;MANIFESTO : DAY 1
65;2023;14;DIMENSION : ANSWER
69;2023;14;BORDER : CARNIVAL
91;2023;14;BORDER : DAY ONE
45;2023;13;BORDER : CARNIVAL
52;2023;13;DIMENSION : DILEMMA
68;2023;13;MANIFESTO : DAY 1
74;2023;13;DIMENSION : ANSWER
79;2023;13;BORDER : DAY ONE
97;2023;12;MANIFESTO : DAY 1
47;2023;11;DIMENSION : DILEMMA
57;2023;11;MANIFESTO : DAY 1
68;2023;11;BORDER : CARNIVAL
75;2023;11;DIMENSION : ANSWER
82;2023;11;BORDER : DAY ONE
51;2023;10;DIMENSION : DILEMMA
81;2023;10;BORDER : CARNIVAL
85;2023;10;BORDER : DAY ONE
86;2023;10;MANIFESTO : DAY 1
79;2023;9;DIMENSION : DILEMMA
80;2023;9;BORDER : DAY ONE
90;2023;9;BORDER : CARNIVAL
99;2023;9;MANIFESTO : DAY 1
84;2023;8;DIMENSION : DILEMMA
61;2023;7;DIMENSION : ANSWER
81;2023;7;BORDER : CARNIVAL
82;2023;7;DIMENSION : DILEMMA
98;2023;7;MANIFESTO : DAY 1
50;2023;6;MANIFESTO : DAY 1
53;2023;6;BORDER : DAY ONE
54;2023;6;DIMENSION : DILEMMA
76;2023;6;BORDER : CARNIVAL
90;2023;6;DIMENSION : ANSWER
41;2023;5;DIMENSION : DILEMMA
42;2023;5;BORDER : DAY ONE
46;2022;53;BORDER : DAY ONE
48;2022;53;DIMENSION : DILEMMA
58;2022;53;BORDER : CARNIVAL
59;2022;53;MANIFESTO : DAY 1
60;2022;53;DIMENSION : ANSWER
39;2022;52;BORDER : CARNIVAL
69;2022;52;BORDER : DAY ONE
85;2022;52;DIMENSION : DILEMMA
53;2022;51;DIMENSION : DILEMMA
78;2022;51;BORDER : CARNIVAL
63;2022;50;BORDER : DAY ONE
74;2022;50;DIMENSION : DILEMMA
91;2022;50;BORDER : CARNIVAL
93;2022;50;DIMENSION : ANSWER
42;2022;49;BORDER : CARNIVAL
45;2022;49;DIMENSION : DILEMMA
78;2022;49;BORDER : DAY ONE
86;2022;49;DIMENSION : ANSWER
88;2022;49;MANIFESTO : DAY 1
42;2022;48;BORDER : CARNIVAL
63;2022;48;BORDER : DAY ONE
65;2022;48;DIMENSION : DILEMMA
90;2022;47;BORDER : CARNIVAL
95;2022;47;DIMENSION : DILEMMA
96;2022;47;MANIFESTO : DAY 1
99;2022;47;DIMENSION : ANSWER
75;2022;46;DIMENSION : DILEMMA
97;2022;46;BORDER : CARNIVAL
99;2022;46;MANIFESTO : DAY 1
71;2022;45;DIMENSION : DILEMMA
85;2022;45;BORDER : CARNIVAL
93;2022;45;MANIFESTO : DAY 1
42;2022;44;BORDER : CARNIVAL
69;2022;44;BORDER : DAY ONE
94;2022;44;DIMENSION : ANSWER
74;2022;42;DIMENSION : DILEMMA
81;2022;42;MANIFESTO : DAY 1
96;2022;42;BORDER : CARNIVAL
98;2022;42;BORDER : DAY ONE
74;2022;41;BORDER : CARNIVAL
75;2022;41;DIMENSION : DILEMMA
10;2022;40;BORDER : CARNIVAL
15;2022;40;BORDER : DAY ONE
93;2022;40;DIMENSION : DILEMMA
58;2022;39;DIMENSION : DILEMMA
70;2022;39;BORDER : DAY ONE
79;2022;39;BORDER : CARNIVAL
55;2022;38;DIMENSION : DILEMMA
57;2022;38;BORDER : CARNIVAL
87;2022;38;DIMENSION : ANSWER
91;2022;38;BORDER : DAY ONE
93;2022;38;MANIFESTO : DAY 1
43;2022;37;MANIFESTO : DAY 1
73;2022;37;DIMENSION : DILEMMA
86;2022;37;BORDER : DAY ONE
70;2022;36;DIMENSION : DILEMMA
73;2022;36;BORDER : CARNIVAL
98;2022;36;BORDER : DAY ONE
34;2022;35;MANIFESTO : DAY 1
54;2022;35;DIMENSION : DILEMMA
55;2022;35;BORDER : CARNIVAL
63;2022;35;DIMENSION : ANSWER
74;2022;35;BORDER : DAY ONE
35;2022;34;DIMENSION : DILEMMA
37;2022;34;BORDER : DAY ONE
47;2022;34;DIMENSION : ANSWER
70;2022;34;MANIFESTO : DAY 1 (Weverse)
98;2022;34;BORDER : CARNIVAL
54;2022;33;DIMENSION : DILEMMA
60;2022;33;BORDER : DAY ONE
68;2022;33;BORDER : CARNIVAL
14;2022;32;MANIFESTO : DAY 1
45;2022;32;DIMENSION : DILEMMA
47;2022;32;MANIFESTO : DAY 1 (Weverse)
51;2022;32;BORDER : CARNIVAL
70;2022;32;DIMENSION : ANSWER
83;2022;32;BORDER : DAY ONE
14;2022;31;MANIFESTO : DAY 1 (Weverse)
93;2022;31;BORDER : CARNIVAL
11;2022;30;MANIFESTO : DAY 1 (Weverse)
74;2022;30;DIMENSION : DILEMMA
89;2022;30;MANIFESTO : DAY 1
94;2022;30;BORDER : CARNIVAL
12;2022;29;MANIFESTO : DAY 1 (Weverse)
33;2022;29;MANIFESTO : DAY 1
82;2022;29;DIMENSION : DILEMMA
89;2022;29;BORDER : CARNIVAL
99;2022;29;BORDER : DAY ONE
2;2022;28;MANIFESTO : DAY 1
6;2022;28;MANIFESTO : DAY 1 (Weverse)
86;2022;28;DIMENSION : DILEMMA
94;2022;28;BORDER : CARNIVAL
98;2022;28;BORDER : DAY ONE
54;2022;27;DIMENSION : DILEMMA
97;2022;27;BORDER : CARNIVAL
45;2022;26;DIMENSION : DILEMMA
64;2022;26;BORDER : CARNIVAL
96;2022;26;BORDER : DAY ONE
54;2022;25;DIMENSION : DILEMMA
63;2022;25;BORDER : CARNIVAL
55;2022;24;DIMENSION : ANSWER
67;2022;24;BORDER : DAY ONE
69;2022;24;BORDER : CARNIVAL
73;2022;24;DIMENSION : DILEMMA
33;2022;23;BORDER : CARNIVAL
54;2022;22;DIMENSION : DILEMMA
67;2022;22;BORDER : DAY ONE
95;2022;22;DIMENSION : ANSWER
96;2022;22;BORDER : CARNIVAL
42;2022;21;DIMENSION : DILEMMA
61;2022;21;BORDER : CARNIVAL
80;2022;21;BORDER : DAY ONE
88;2022;21;DIMENSION : ANSWER
34;2022;20;DIMENSION : DILEMMA
82;2022;20;BORDER : DAY ONE
87;2022;20;BORDER : CARNIVAL
27;2022;19;DIMENSION : DILEMMA
55;2022;19;BORDER : DAY ONE
80;2022;19;BORDER : CARNIVAL
86;2022;19;DIMENSION : ANSWER
46;2022;18;BORDER : DAY ONE
47;2022;18;DIMENSION : DILEMMA
58;2022;18;DIMENSION : ANSWER
64;2022;18;BORDER : CARNIVAL
34;2022;17;BORDER : DAY ONE
36;2022;17;BORDER : CARNIVAL
44;2022;17;DIMENSION : DILEMMA
91;2022;17;DIMENSION : ANSWER
28;2022;16;DIMENSION : DILEMMA
40;2022;16;BORDER : DAY ONE
58;2022;16;DIMENSION : ANSWER
65;2022;16;BORDER : CARNIVAL
31;2022;15;DIMENSION : DILEMMA
41;2022;15;BORDER : DAY ONE
44;2022;15;BORDER : CARNIVAL
64;2022;15;DIMENSION : ANSWER
26;2022;14;BORDER : CARNIVAL
37;2022;14;DIMENSION : DILEMMA
47;2022;14;BORDER : DAY ONE
50;2022;14;DIMENSION : ANSWER
45;2022;13;DIMENSION : DILEMMA
50;2022;13;BORDER : DAY ONE
56;2022;13;DIMENSION : ANSWER
66;2022;13;BORDER : CARNIVAL
19;2022;12;DIMENSION : ANSWER
52;2022;12;BORDER : DAY ONE
61;2022;12;DIMENSION : DILEMMA
81;2022;12;BORDER : CARNIVAL
17;2022;11;DIMENSION : DILEMMA
19;2022;11;BORDER : DAY ONE
35;2022;11;DIMENSION : ANSWER
40;2022;11;BORDER : CARNIVAL
27;2022;10;DIMENSION : DILEMMA
28;2022;10;BORDER : DAY ONE
51;2022;10;BORDER : CARNIVAL
69;2022;10;DIMENSION : ANSWER
24;2022;9;DIMENSION : DILEMMA
31;2022;9;BORDER : DAY ONE
51;2022;9;DIMENSION : ANSWER
55;2022;9;BORDER : CARNIVAL
20;2022;8;DIMENSION : DILEMMA
26;2022;8;BORDER : DAY ONE
35;2022;8;BORDER : CARNIVAL
53;2022;8;DIMENSION : ANSWER
10;2022;7;DIMENSION : DILEMMA
17;2022;7;BORDER : DAY ONE
31;2022;7;BORDER : CARNIVAL
41;2022;7;DIMENSION : ANSWER
8;2022;6;BORDER : CARNIVAL
9;2022;6;BORDER : DAY ONE
13;2022;6;DIMENSION : DILEMMA
16;2022;6;DIMENSION : ANSWER
6;2022;5;DIMENSION : ANSWER
24;2022;5;DIMENSION : DILEMMA
32;2022;5;BORDER : CARNIVAL
40;2022;5;BORDER : DAY ONE
11;2022;4;DIMENSION : ANSWER
24;2022;4;DIMENSION : DILEMMA
36;2022;4;BORDER : CARNIVAL
38;2022;4;BORDER : DAY ONE
1;2022;3;DIMENSION : ANSWER
19;2022;3;DIMENSION : DILEMMA
26;2022;3;BORDER : DAY ONE
27;2022;3;BORDER : CARNIVAL
20;2022;2;DIMENSION : DILEMMA
24;2022;2;BORDER : DAY ONE
32;2022;2;BORDER : CARNIVAL
22;2022;1;BORDER : CARNIVAL
26;2022;1;DIMENSION : DILEMMA
38;2022;1;BORDER : DAY ONE
14;2021;52;DIMENSION : DILEMMA
22;2021;52;BORDER : CARNIVAL
25;2021;52;BORDER : DAY ONE
13;2021;51;DIMENSION : DILEMMA
28;2021;51;BORDER : CARNIVAL
35;2021;51;BORDER : DAY ONE
20;2021;50;DIMENSION : DILEMMA
